created_at,entry_id,Temperature,RH,PM2.5,PM10
2025-01-01 17:30:02 +0530,58,,,59.1,171.8
2025-01-01 17:30:25 +0530,59,,,61.0,167.6
2025-01-01 17:30:48 +0530,60,,,57.9,145.7
2025-01-01 17:31:10 +0530,61,,,57.5,143.9
2025-01-01 17:31:33 +0530,62,,,57.0,134.9
2025-01-01 17:31:55 +0530,63,,,58.0,133.9
2025-01-01 17:32:18 +0530,64,,,56.6,127.0
2025-01-01 17:32:41 +0530,65,,,58.1,134.4
2025-01-01 17:33:04 +0530,66,,,58.8,135.7
2025-01-01 17:33:27 +0530,67,,,57.1,138.0
2025-01-01 17:33:50 +0530,68,,,58.1,129.9
2025-01-01 17:34:14 +0530,69,,,57.9,131.9
2025-01-01 17:34:37 +0530,70,,,57.9,147.3
2025-01-01 17:35:00 +0530,71,,,59.0,143.6
2025-01-01 17:35:23 +0530,72,,,59.1,135.5
2025-01-01 17:35:47 +0530,73,,,58.7,142.8
2025-01-01 17:36:10 +0530,74,,,56.9,133.9
2025-01-01 17:36:36 +0530,75,,,58.2,133.0
2025-01-01 17:37:00 +0530,76,,,57.5,138.4
2025-01-01 17:37:36 +0530,77,,,58.4,141.6
2025-01-01 17:37:59 +0530,78,,,57.0,137.6
2025-01-01 17:38:22 +0530,79,,,58.4,139.3
2025-01-01 17:38:44 +0530,80,,,58.5,135.7
2025-01-01 17:39:07 +0530,81,,,59.7,140.9
2025-01-01 17:39:30 +0530,82,,,57.9,138.9
2025-01-01 17:39:52 +0530,83,,,57.2,136.2
2025-01-01 17:40:15 +0530,84,,,58.0,136.5
2025-01-01 17:40:37 +0530,85,,,58.4,143.3
2025-01-01 17:41:00 +0530,86,,,58.4,135.8
2025-01-01 17:41:22 +0530,87,,,59.6,128.9
2025-01-01 17:41:46 +0530,88,,,59.8,141.4
2025-01-01 17:42:08 +0530,89,,,57.5,134.4
2025-01-01 17:42:31 +0530,90,,,57.3,135.2
2025-01-01 17:42:54 +0530,91,,,58.3,139.2
2025-01-01 17:43:16 +0530,92,,,57.0,131.4
2025-01-01 17:43:39 +0530,93,,,57.1,135.9
2025-01-01 17:44:01 +0530,94,,,57.0,136.3
2025-01-01 17:44:24 +0530,95,,,56.8,129.2
2025-01-01 17:44:47 +0530,96,,,57.7,131.7
2025-01-01 17:45:09 +0530,97,,,57.5,130.4
2025-01-01 17:45:32 +0530,98,,,57.9,125.7
2025-01-01 17:45:54 +0530,99,,,55.9,132.0
2025-01-01 17:46:17 +0530,100,,,55.6,128.1
2025-01-01 17:46:39 +0530,101,,,58.1,133.0
2025-01-01 17:47:02 +0530,102,,,57.7,135.2
2025-01-01 17:47:25 +0530,103,,,56.0,121.9
2025-01-01 17:47:48 +0530,104,,,57.4,124.7
2025-01-01 17:48:10 +0530,105,,,59.1,132.1
2025-01-01 17:48:33 +0530,106,,,58.5,134.1
2025-01-01 17:48:57 +0530,107,,,57.3,130.4
2025-01-01 17:49:19 +0530,108,,,56.8,133.7
2025-01-01 17:49:42 +0530,109,,,57.8,128.0
2025-01-01 17:50:04 +0530,110,,,59.0,130.2
2025-01-01 17:50:27 +0530,111,,,57.5,125.2
2025-01-01 17:50:50 +0530,112,,,57.0,124.0
2025-01-01 17:51:12 +0530,113,,,57.1,124.0
2025-01-01 17:51:36 +0530,114,,,55.5,123.7
2025-01-01 17:51:59 +0530,115,,,55.8,123.1
2025-01-01 17:52:22 +0530,116,,,57.9,130.1
2025-01-01 17:52:45 +0530,117,,,57.0,133.0
2025-01-01 17:53:08 +0530,118,,,56.4,123.2
2025-01-01 17:53:31 +0530,119,,,55.7,126.8
2025-01-01 17:53:55 +0530,120,,,55.9,129.7
2025-01-01 17:54:18 +0530,121,,,56.8,124.3
2025-01-01 17:54:41 +0530,122,,,56.8,121.6
2025-01-01 17:55:03 +0530,123,,,55.5,113.3
2025-01-01 17:55:27 +0530,124,,,55.5,124.4
2025-01-01 17:55:50 +0530,125,,,58.2,133.9
2025-01-01 17:56:13 +0530,126,,,56.4,122.3
2025-01-01 17:56:36 +0530,127,,,56.6,120.8
2025-01-01 17:56:58 +0530,128,,,56.1,127.0
2025-01-01 17:57:21 +0530,129,,,56.8,129.2
2025-01-01 17:57:44 +0530,130,,,55.9,114.2
2025-01-01 17:58:07 +0530,131,,,56.7,121.9
2025-01-01 17:58:29 +0530,132,,,55.1,112.9
2025-01-01 17:58:52 +0530,133,,,56.2,121.0
2025-01-01 17:59:14 +0530,134,,,57.2,128.8
2025-01-01 17:59:37 +0530,135,,,57.2,130.2
2025-01-01 17:59:59 +0530,136,,,55.7,119.7
2025-01-01 18:00:22 +0530,137,,,56.0,118.7
2025-01-01 18:00:45 +0530,138,,,54.7,109.3
2025-01-01 18:01:14 +0530,139,,,55.3,115.4
