id,temperature,humidity,pm25,pm10,timestamp
1,32.29,42.38,12.0,32.0,2025-05-06T21:01:14+05:30
2,32.36,42.36,12.0,35.0,2025-05-06T21:01:36+05:30
3,32.5,42.47,13.0,31.0,2025-05-06T21:02:21+05:30
4,32.53,42.4,12.0,34.0,2025-05-06T21:02:43+05:30
5,32.69,42.46,13.0,37.0,2025-05-06T21:03:28+05:30
6,32.75,42.4,13.0,34.0,2025-05-06T21:03:50+05:30
7,32.86,42.39,13.0,37.0,2025-05-06T21:04:36+05:30
8,32.91,42.24,14.0,40.0,2025-05-06T21:04:58+05:30
9,33.0,42.22,14.0,43.0,2025-05-06T21:05:40+05:30
10,33.06,42.18,13.0,35.0,2025-05-06T21:06:02+05:30
11,33.16,42.07,13.0,41.0,2025-05-06T21:06:44+05:30
12,33.19,41.98,13.0,39.0,2025-05-06T21:07:06+05:30
13,33.27,42.01,13.0,32.0,2025-05-06T21:07:51+05:30
14,33.31,42.09,14.0,39.0,2025-05-06T21:08:13+05:30
15,33.41,42.01,13.0,40.0,2025-05-06T21:08:58+05:30
16,33.45,41.96,13.0,38.0,2025-05-06T21:09:20+05:30
17,34.5,39.96,15.0,33.0,2025-05-06T21:33:05+05:30
18,34.49,40.0,16.0,45.0,2025-05-06T21:33:49+05:30
19,34.52,39.83,15.0,47.0,2025-05-06T21:34:10+05:30
20,34.52,39.67,15.0,40.0,2025-05-06T21:34:54+05:30
21,34.54,39.81,15.0,39.0,2025-05-06T21:35:15+05:30
22,34.53,39.56,15.0,43.0,2025-05-06T21:35:59+05:30
23,34.54,39.41,14.0,43.0,2025-05-06T21:36:22+05:30
24,34.56,39.52,14.0,39.0,2025-05-06T21:37:07+05:30
25,34.57,39.45,14.0,32.0,2025-05-06T21:37:30+05:30
26,34.57,39.37,15.0,42.0,2025-05-06T21:38:15+05:30
27,34.57,39.29,15.0,35.0,2025-05-06T21:38:37+05:30
28,34.57,39.15,14.0,37.0,2025-05-06T21:39:22+05:30
29,34.57,39.0,14.0,38.0,2025-05-06T21:39:45+05:30
30,34.59,39.09,14.0,46.0,2025-05-06T21:40:30+05:30
31,34.58,39.0,13.0,39.0,2025-05-06T21:40:53+05:30
32,34.58,39.07,14.0,40.0,2025-05-06T21:41:38+05:30
33,34.57,39.05,14.0,34.0,2025-05-06T21:42:00+05:30
34,34.58,39.02,14.0,32.0,2025-05-06T21:42:45+05:30
35,34.57,39.07,15.0,39.0,2025-05-06T21:43:07+05:30
36,34.58,38.98,13.0,34.0,2025-05-06T21:43:52+05:30
